symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
BNL,1451,0.07236388697450034,4.5099322503724826e-05,0.10038497547049693,0.852640170698616,3026.3045370857644,True,4.474769774935336e-05,0.16551806186139212,0.8243837236512206,2630.401808391636,True,9.393089337653944e-05,0.19253678098502702,0.7353424858389266,2652.812671658942,True,0.09215180551453009,0.06513308639089518,False,
BNWM,2039,0.05492888670917116,6.056040861517252e-05,0.15324958957101126,0.7883460521232031,4303.215864462729,True,6.623883402571459e-05,0.21462696261065806,0.7575682180234435,3852.3855791481733,True,8.095649772678983e-05,0.18853539844836031,0.7451159712079478,3857.5722748979492,True,0.035285808877349056,0.0613773730396468,False,
BOK,2193,0.015503875968992248,0.00013839222006527003,0.256478486447535,0.5777297838650037,4898.095548922129,True,0.00014712262407113311,0.29214927122065915,0.5526437560654953,4753.777572678868,True,0.00016016761394303228,0.283696436359111,0.5329175346851502,4753.555189647727,True,0.027217949911576,0.03567078477312413,False,
BOP,2474,0.014955537590945837,5.45952110660041e-05,0.16304130800361794,0.7680462741955391,5675.795068380253,True,5.364298049003896e-05,0.1835124934014019,0.761681399128961,5515.615458345905,True,5.6702078138640185e-05,0.17390581203248467,0.7592810078102001,5513.497095165115,True,0.01086450402886674,0.020471185397783975,False,
BPL,1945,0.08277634961439588,0.00012517923789011744,0.17799252504761798,0.7058069350910564,4000.3136803875504,True,0.00014980876434826532,0.28562834797788644,0.6509056277581179,3353.915625308957,True,0.00019577546068336814,0.24253730755009,0.6108549701016891,3360.996960434566,True,0.06454478250247203,0.10763582293026847,False,
BRRG,726,0.01652892561983471,0.0003040132353198846,0.19260722359945992,0.5457623116547382,1449.3912333454693,True,0.00032430307679244986,0.22036800089324327,0.5200881255165992,1398.8557126174373,True,0.0003309716479480092,0.21120429678483799,0.5165483012290231,1398.9403465626174,True,0.018597073185378066,0.027760777293783345,False,
BTL,1396,0.10816618911174786,9.05478347286482e-05,0.13178224309174333,0.8065591080839611,2656.0536883023665,True,0.0001089876704648335,0.2285300212853754,0.7640232141162259,2091.8509177992655,True,0.00012320872043551894,0.18222547270778908,0.755644354164733,2101.4277959372466,True,0.05044322961604575,0.09674777819363206,False,
BUXL,1988,0.1493963782696177,0.00010641578752185882,0.17417776878121832,0.752383333088227,3827.388617867124,True,0.0001428676759371374,0.3156574679412073,0.6843425320587636,2752.5511301100937,True,0.00013828719358102682,0.2552217659246157,0.6919924310468784,2795.5479044715894,True,0.08104399714339738,0.14147969915998898,False,
BWCL,2462,0.013403736799350122,3.287314356737491e-05,0.11378492618224798,0.7988463054392814,6344.019085305472,True,3.3327695009652275e-05,0.12406559909357187,0.7940415328558293,6182.252219131197,True,3.467497710669563e-05,0.12063685693977368,0.7905113911690855,6184.813238512259,True,0.006851930757525701,0.010280672911323896,False,
BWHL,1825,0.1178082191780822,2.638068378411794e-05,0.10463333720825316,0.8793832136630082,3503.0984168143264,True,7.524595432547614e-05,0.22334411352617828,0.7766558864738169,2699.115988338036,True,4.469359068321076e-05,0.1439038333828036,0.836769022083592,2707.9038930680867,True,0.039270496174550446,0.11871077631792512,False,
