symbol,n,censor_rate,alpha_n,beta_n,nu_n,ok_n,alpha_c,nu_c,ok_c,alpha_l,beta_l,nu_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error
BWCL,2462,0.013403736799350122,0.152276630368411,0.8330509100053598,3.920113980139246,True,0.17641132327572961,3.4444015714383247,True,0.14646850726806498,0.8193583058364845,3.496482826401284,True,-0.005808123100346008,0.024134692907318622,False,
BWHL,1825,0.1178082191780822,0.1386057733346815,0.8613942266648666,11.654440055201592,True,0.31620289506209265,6.231892771990882,True,0.20465172461648534,0.7953482753835024,3.7391651318117427,True,0.06604595128180385,0.17759712172741116,True,
CASH,500,0.106,0.12329694935954406,0.7007173958919969,199.99999986957454,True,0.9594106980896928,2.6351607991843036,True,0.26652198766661195,0.678047457466534,2.5700735013944884,True,0.1432250383070679,0.8361137487301488,True,
CCM,1036,0.12065637065637065,0.32397047739975415,0.6760295226002422,3.6628254448139943,True,0.32473346858507424,3.0712087672568105,True,0.2544935575196906,0.7443058509402914,2.4576795440410213,True,-0.06947691988006355,0.0007629911853200833,True,
CENI,1542,0.04345006485084306,0.10909418627849449,0.8909056048448603,6.8807189591952,True,0.19510267676522353,4.937180056395587,True,0.11081304834943648,0.889186951650544,4.2203358526766905,True,0.00171886207094199,0.08600849048672904,True,
CEPB,2457,0.035002035002035005,0.18442216127649225,0.7176200560881403,4.901827192573095,True,0.2974935567196312,3.148457844681231,True,0.18603070402451435,0.6950245165148411,3.344510853772262,True,0.001608542748022107,0.11307139544313893,False,
CFL,737,0.17096336499321574,0.4473336553775834,0.04975035664955216,2.0500000004058734,True,0.999999864898707,2.099074428495473,True,0.1914273297582203,0.007720220402575206,2.2235283342903185,True,-0.2559063256193631,0.5526662095211236,False,
CHAS,1885,0.07214854111405836,0.14441868519507337,0.7769337702346972,8.776658042812894,True,0.3910177086873833,3.132459039932521,True,0.27552686097302065,0.5279992901717714,2.9502892435416337,True,0.13110817577794728,0.24659902349230992,False,
CHBL,886,0.03837471783295711,0.26929382223371645,0.6321572960196933,4.480022711899748,True,0.3881968774251126,3.407057513584042,True,0.30814784229769043,0.5143409794194669,3.381254114896347,True,0.03885402006397398,0.11890305519139616,False,
CHCC,2469,0.040097205346294046,0.18848088234072471,0.7688245535355395,5.623804462469263,True,0.2637817135486629,3.8982474550798347,True,0.18085263491254888,0.7754483907944444,3.782549773755931,True,-0.007628247428175833,0.07530083120793821,False,
CJPL,816,0.05759803921568627,0.2963013130267062,0.42087683770516787,4.888914900850933,True,0.6302153187050665,3.024027744889775,True,0.36954754340477125,0.3843591065922574,2.956283039891802,True,0.07324623037806505,0.3339140056783603,False,
CLOV,2454,0.1071719641401793,0.3376580453407573,0.5930446889596437,7.379076633908578,True,0.5314826281921752,4.380198313490558,True,0.46657199897757323,0.4894815204042795,3.070359856498073,True,0.12891395363681596,0.1938245828514179,False,
CLVL,1201,0.06910907577019151,0.31393066670758246,0.5686333170572905,7.0770977777252915,True,0.4870604075779629,4.390706620350043,True,0.5333503859673625,0.3873068835842922,3.4483487696787805,True,0.21941971925978004,0.1731297408703804,False,
CNERGY,2476,0.012520193861066236,0.2128576531857467,0.7508553116151888,3.608842740663336,True,0.2570672681444417,3.20324103382506,True,0.19394854018476704,0.7286652205014892,3.5582341792646166,True,-0.018909113000979666,0.04420961495869499,False,
COLG,2043,0.033284385707293196,0.2352591651262103,0.7647408348737881,3.4969434852478978,True,0.24562029917607792,3.353063448842516,True,0.24442437452650345,0.7555756254732946,2.9724299520279627,True,0.00916520940029314,0.010361134049867604,True,
CPHL,1287,0.024087024087024088,0.18953490859388328,0.7314136589274627,3.531663634848946,True,0.2729743568669819,2.7703151183934143,True,0.16650169048886354,0.6432041561587788,3.2006574942753607,True,-0.023033218105019737,0.08343944827309863,False,
CPPL,2441,0.03850880786562884,0.24059134578490848,0.7075219453472333,4.1839581086577535,True,0.34465986199492116,3.2249004834026564,True,0.2856266544925229,0.5934088664920731,3.2878797983535493,True,0.04503530870761441,0.10406851621001267,False,
