symbol,n,censor_rate,omega_n,alpha_n,beta_n,ll_n,ok_n,omega_c,alpha_c,beta_c,ll_c,ok_c,omega_l,alpha_l,beta_l,ll_l,ok_l,alpha_gap,alpha_gap_partial,at_boundary,error,regime
ALNRS,479,0.16701461377870563,1.827331587451578e-05,0.08066782857254988,0.9112418650649691,781.3215264236828,True,0.00011072428993260348,0.15822758675224857,0.8417724132477109,500.75318092566056,True,1.738229124376354e-05,0.09424964079996304,0.9005000712129587,501.28561038309033,True,0.013581812227413156,0.07755975817969869,False,,7.5%
ALNRS,523,0.0038240917782026767,2.4671465009359375e-05,0.04132666093476458,0.9332927772275609,1071.3098993947515,True,2.3852540340795112e-05,0.04074829280170123,0.9351491353906864,1062.0430414475004,True,2.4528076306309856e-05,0.04084664644419652,0.9341172196732241,1062.2359501390642,True,-0.0004800144905680592,-0.0005783681330633478,False,,10.0%
ALTN,541,0.12199630314232902,5.234151946110071e-05,0.13641821719372527,0.8048409075552312,1156.2514178583253,True,6.373853769569817e-05,0.24878816052750768,0.7512118394724652,890.117283843751,True,0.00010699411124513775,0.21632134672304837,0.6956670622477614,892.3488086846108,True,0.0799031295293231,0.11236994333378242,False,,5.0%
ALTN,842,0.0332541567695962,0.00010491897778717711,0.17463350586348106,0.6949332001621711,1856.4034888299689,True,0.00011721108260625704,0.20902070562493746,0.6703517294471771,1729.8965990627253,True,0.00013944368917068179,0.19286159237700995,0.6429760755472389,1729.7567830900011,True,0.01822808651352889,0.034387199761456405,False,,7.5%
ALTN,542,0.005535055350553505,0.0001193889596502666,0.14091579742137295,0.676065526206686,1247.4275495159586,True,0.0001255556859854494,0.15188280198222737,0.6610370249353323,1233.9698995905294,True,0.000137271959550627,0.1560382580516938,0.6362719005342052,1234.1300205995212,True,0.015122460630320855,0.010967004560854421,False,,10.0%
AMBL,404,0.03217821782178218,0.000288176627767425,0.1885754156942538,0.7384400378704956,592.6042219133618,True,0.0003528688007277091,0.20653460555774833,0.7180792294049285,543.8839595278946,True,0.00035578535551076564,0.19227661297642448,0.7217158223094555,543.1967226681008,True,0.003701197282170693,0.01795918986349454,False,,5.0%
AMBL,452,0.06637168141592921,5.44331335760217e-05,0.15964906463300793,0.825285468791801,781.0544406908118,True,7.825980053080797e-05,0.21603010442039727,0.7839698955795404,678.9061425446253,True,8.356221537407466e-05,0.20179810124988956,0.7811914406601956,680.6523906517407,True,0.04214903661688163,0.05638103978738934,False,,10.0%
AMTEX,817,0.0,0.0003045437226285975,0.251227091647643,0.6789522096325755,1302.0071762182367,True,0.0003045437226285975,0.251227091647643,0.6789522096325755,1302.0071762182367,True,0.00030454373898571507,0.2512271401985098,0.6789521750503502,1302.0071762182374,True,4.855086677135745e-08,0.0,False,,5.0%
AMTEX,544,0.003676470588235294,7.04254082111167e-05,0.0717560817416584,0.886791819640895,990.3207062488426,True,7.077672989155617e-05,0.07210227693341471,0.887050000077162,980.3036875508907,True,7.214212380642937e-05,0.07168408587981143,0.8861975071722277,980.1325943643543,True,-7.199586184697404e-05,0.00034619519175631275,False,,10.0%
ANL,821,0.04263093788063337,0.00022771846483255923,0.18185684076951034,0.6428355967754333,1599.5091757345167,True,0.00022280394066275175,0.23151940482900718,0.6364622141682035,1457.2381876512254,True,0.0002299506540128772,0.19767285843284588,0.6442632806680356,1456.023070397753,True,0.01581601766333554,0.049662564059496844,False,,5.0%
ANL,1034,0.027079303675048357,0.00015694351382554623,0.16658197623956206,0.6766068433041659,2149.7701891578777,True,0.00016348615801508446,0.20428942097684802,0.6573927514384615,2031.8510574799982,True,0.0001638340663558038,0.18479945223452038,0.6643909957470272,2031.8365364481128,True,0.01821747599495832,0.03770744473728596,False,,7.5%
ANL,544,0.012867647058823529,3.170575538164429e-05,0.12468326615400115,0.8411402448722234,1216.378981196037,True,2.975269942697963e-05,0.13531556922732646,0.8399226011033516,1185.3815241157374,True,3.2281315117453654e-05,0.13374868227214287,0.8350181086120225,1185.7058738572232,True,0.009065416118141725,0.010632303073325314,False,,10.0%
ANSM,723,0.14661134163208853,5.142799049151015e-05,0.11621181448433407,0.8615475098160272,1272.1250885680051,True,0.00029841246508230623,0.39232000916464793,0.6076799908317998,888.7130595001203,True,0.00035794768364640203,0.33702869493344145,0.5608344196981461,900.7710541606973,True,0.22081688044910738,0.2761081946803139,False,,5.0%
ANTM,476,0.09873949579831932,0.0006950051989861702,0.23720829159117873,0.4965437635032945,756.3336923368788,True,0.0009167320834353185,0.4720178108224345,0.3624636345203024,595.2445418243985,True,0.0010672917510440496,0.4073282793368714,0.30136286992407746,600.5598210895491,True,0.17011998774569265,0.23480951923125576,False,,10.0%
